OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
52,524,525,525,D:\Users\Wildlands\Desktop\QUTO\0F4A3758.jpg,0F4A3758.jpg,2015:04:29 09:38:44,65535,{EB284BA4-9C4F-4866-AF29-D7F354FA6F61},-119.8561717,34.04530667,536.3,1, ,0,0,0,0,894.7130127,0.328397989,575.4429932,5.454599857,23.93400002
53,535,536,536,D:\Users\Wildlands\Desktop\QUTO\0F4A3771.jpg,0F4A3771.jpg,2015:04:29 09:39:33,65535,{C1A749AC-4F46-42DF-889F-FF4590ED7602},-119.8562017,34.04551333,572.5,1, ,0,0,0,0,894.7130127,0.328397989,575.4429932,5.454599857,23.93400002
54,544,545,545,D:\Users\Wildlands\Desktop\QUTO\0F4A3780.jpg,0F4A3780.jpg,2015:04:29 09:39:47,65535,{B5FFE19C-04B5-49A4-AD0B-8C275C5740C5},-119.856955,34.04534167,570.7,1, ,0,0,0,0,897.8870239,0.338456988,570.039978,5.421299934,23.92609978
55,559,560,560,D:\Users\Wildlands\Desktop\QUTO\0F4A3799.jpg,0F4A3799.jpg,2015:04:29 09:41:11,65535,{BE1956D1-E33A-4728-86C7-6F01EF3F59B5},-119.8468483,34.04059833,547.8,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
56,569,570,570,D:\Users\Wildlands\Desktop\QUTO\0F4A3811.jpg,0F4A3811.jpg,2015:04:29 09:41:29,65535,{59F2A115-DCFA-403C-8BDA-E6B88CBAB998},-119.84656,34.04023,572.6,1, ,0,0,0,0,888.5469971,0.378601015,572.8900146,5.302899837,22.64889908
57,584,585,585,D:\Users\Wildlands\Desktop\QUTO\0F4A3839.jpg,0F4A3839.jpg,2015:04:29 09:42:33,65535,{660EDD42-0D13-4A10-8FAC-93662A5FD90B},-119.8442083,34.03671,569.7,1, ,0,0,0,0,897.6099854,0.281424999,551.2930298,5.477900028,23.64929962
58,598,599,599,D:\Users\Wildlands\Desktop\QUTO\0F4A3853.jpg,0F4A3853.jpg,2015:04:29 09:42:43,65535,{037166B2-632D-4D0B-B652-D3CA8CC36B65},-119.8448183,34.03597167,520.1,1, ,0,0,0,0,897.6099854,0.281424999,551.2930298,5.477900028,23.64929962
59,606,607,607,D:\Users\Wildlands\Desktop\QUTO\0F4A3861.jpg,0F4A3861.jpg,2015:04:29 09:43:00,65535,{257C764F-5679-4E10-A8A4-701638A9A8AC},-119.8442667,34.03612333,506.7,1, ,0,0,0,0,897.6099854,0.281424999,551.2930298,5.477900028,23.64929962
60,617,618,618,D:\Users\Wildlands\Desktop\QUTO\0F4A4184.jpg,0F4A4184.jpg,2015:05:23 09:53:27,65535,{8AB878BB-A06B-41F8-A406-8E767F965ABA},-119.8426533,34.03989833,604.5,1, ,0,0,0,0,906.0269775,0.364481986,558.3629761,5.296000004,23.18639946
61,625,626,626,D:\Users\Wildlands\Desktop\QUTO\0F4A4248.jpg,0F4A4248.jpg,2015:05:23 10:06:05,65535,{620E1A31-9E35-47B3-A734-EAF5641A902B},-119.7466817,34.03845333,225.4,1, ,0,0,0,0,933.0800171,0.187086999,506.0369873,5.953000069,22.76189995
